




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
protein deneddylation (GO:0000338)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to presynapse (GO:1905384)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to presynapse (GO:1905383)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of snRNA transcription by RNA polymerase II (GO:1905382)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of snRNA transcription by RNA polymerase II (GO:1905381)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of snRNA transcription by RNA polymerase II (GO:1905380)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
constitutive protein ectodomain proteolysis (GO:0051089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to virus (GO:0098586)	50	0	.36	-	 < 0.01	1.00E00	1.00E00
chaperone mediated protein folding independent of cofactor (GO:0051086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment accumulation (GO:0043476)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
learned vocalization behavior (GO:0098583)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' cotranslational protein folding (GO:0051083)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment metabolic process involved in pigmentation (GO:0043474)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to potassium ion (GO:0035865)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
innate vocalization behavior (GO:0098582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of external biotic stimulus (GO:0098581)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
response to potassium ion (GO:0035864)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear membrane disassembly (GO:0051081)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
dITP catabolic process (GO:0035863)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular carbohydrate catabolic process (GO:0043471)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
dITP metabolic process (GO:0035862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of carbohydrate catabolic process (GO:0043470)	91	0	.66	-	 < 0.01	1.00E00	1.00E00
glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
response to D-galactose (GO:1905377)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide phosphoethanolamine biosynthetic process (GO:1905373)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide phosphoethanolamine metabolic process (GO:1905371)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
re-entry into mitotic cell cycle (GO:0000320)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of fermentation (GO:0043465)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
megakaryocyte development (GO:0035855)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
eosinophil fate commitment (GO:0035854)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome passenger complex localization to spindle midzone (GO:0035853)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex assembly (GO:0043461)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
horizontal cell localization (GO:0035852)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell differentiation involved in kidney development (GO:0035850)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of mating type switching (GO:0031494)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of intralumenal vesicle formation (GO:1905366)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of intralumenal vesicle formation (GO:1905365)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endosomal vesicle fusion (GO:1905364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dihydrolipoamide metabolic process (GO:0051068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nephric duct elongation (GO:0035849)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dihydrobiopterin metabolic process (GO:0051066)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
uterine epithelium development (GO:0035847)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of pentose-phosphate shunt (GO:0043456)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of secondary metabolic process (GO:0043455)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
oviduct epithelium development (GO:0035846)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell outer segment organization (GO:0035845)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
cloaca development (GO:0035844)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to meiotic spindle (GO:1905359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spine apparatus assembly (GO:1905355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to oxygen radical (GO:0000305)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
response to singlet oxygen (GO:0000304)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to superoxide (GO:0000303)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
detection of virus (GO:0009597)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
response to reactive oxygen species (GO:0000302)	186	0	1.35	-	 < 0.01	6.48E-01	1.00E00
retrograde transport, vesicle recycling within Golgi (GO:0000301)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular alkene metabolic process (GO:0043449)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of small GTPase mediated signal transduction (GO:0051057)	86	0	.63	-	 < 0.01	1.00E00	1.00E00
detection of biotic stimulus (GO:0009595)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid biosynthetic process (GO:0051055)	51	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	140	0	1.02	-	 < 0.01	6.30E-01	1.00E00
detection of gravity (GO:0009590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary transition zone assembly (GO:1905349)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin catabolic process (GO:1905344)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to kinetochore (GO:1905342)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-serine acetylation (GO:0017198)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of UV (GO:0009589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to kinetochore (GO:1905341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-methionine acetylation (GO:0017196)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to kinetochore (GO:1905340)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of secretion (GO:0051048)	165	0	1.20	-	 < 0.01	6.36E-01	1.00E00
acetoacetic acid metabolic process (GO:0043438)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of visible light (GO:0009584)	50	0	.36	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane protein ectodomain proteolysis (GO:0051045)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus (GO:0009583)	63	0	.46	-	 < 0.01	1.00E00	1.00E00
detection of other organism (GO:0098543)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
response to corticotropin-releasing hormone (GO:0043435)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
detection of abiotic stimulus (GO:0009582)	139	0	1.01	-	 < 0.01	6.30E-01	1.00E00
positive regulation of membrane protein ectodomain proteolysis (GO:0051044)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of membrane protein ectodomain proteolysis (GO:0051043)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
detection of external stimulus (GO:0009581)	137	0	1.00	-	 < 0.01	6.30E-01	1.00E00
N-terminal peptidyl-aspartic acid acetylation (GO:0017190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium-independent cell-cell adhesion (GO:0051042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium-independent cell-cell adhesion (GO:0051041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gene conversion (GO:0035822)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of calcium-independent cell-cell adhesion (GO:0051040)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine betaine transport (GO:0031460)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of aggrephagy (GO:1905337)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of aggrephagy (GO:1905335)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of gastric motility (GO:1905333)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of morphogenesis of an epithelium (GO:1905331)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamic acid carboxylation (GO:0017187)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription involved in meiotic cell cycle (GO:0051039)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase (GO:0017186)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine hydroxylation (GO:0017185)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of transcription involved in meiotic cell cycle (GO:0051037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation (GO:0098535)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of endosome size (GO:0051036)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
centriole assembly (GO:0098534)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
peptidyl-diphthamide metabolic process (GO:0017182)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-K27 trimethylation (GO:0098532)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of renal sodium excretion (GO:0035814)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA transport (GO:0051031)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of strand invasion (GO:0098530)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA transport (GO:0051030)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
renal sodium excretion (GO:0035812)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of urine volume (GO:0035811)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
anthranilate metabolic process (GO:0043420)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine betaine biosynthetic process (GO:0031456)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine betaine metabolic process (GO:0031455)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of heterochromatin assembly (GO:0031453)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of heterochromatin assembly (GO:0031452)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tracheoesophageal septum formation (GO:1905327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesenchymal stem cell migration (GO:1905322)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
skeletal muscle fiber differentiation (GO:0098528)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA transport (GO:0051029)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal stem cell migration (GO:1905320)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
fertilization (GO:0009566)	190	0	1.38	-	 < 0.01	6.50E-01	1.00E00
homocysteine catabolic process (GO:0043418)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chiasma assembly (GO:0051026)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle tissue regeneration (GO:0043417)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macromolecule methylation (GO:0043414)	257	0	1.87	-	 < 0.01	2.69E-01	1.00E00
egg coat formation (GO:0035803)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
adrenal cortex formation (GO:0035802)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenal cortex development (GO:0035801)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of slow-twitch skeletal muscle fiber contraction (GO:0031449)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of fast-twitch skeletal muscle fiber contraction (GO:0031448)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of fast-twitch skeletal muscle fiber contraction (GO:0031446)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heterochromatin assembly (GO:0031445)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
slow-twitch skeletal muscle fiber contraction (GO:0031444)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
fast-twitch skeletal muscle fiber contraction (GO:0031443)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA 3'-end processing (GO:0031442)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA 3'-end processing (GO:0031441)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA 3'-end processing (GO:0031440)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
inferior endocardial cushion morphogenesis (GO:1905317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
semi-lunar valve development (GO:1905314)	41	0	.30	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor signaling pathway involved in heart development (GO:1905313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:1905312)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:1905310)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
barbed-end actin filament capping (GO:0051016)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of MAP kinase activity (GO:0043407)	76	0	.55	-	 < 0.01	1.00E00	1.00E00
actin filament severing (GO:0051014)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
microtubule sliding (GO:0051012)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glucocorticoid mediated signaling pathway (GO:0043402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortisol secretion (GO:0043400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA cleavage (GO:0031439)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA cleavage (GO:0031437)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cohesin loading (GO:1905309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac myofibril assembly (GO:1905305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac myofibril assembly (GO:1905304)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macropinocytosis (GO:1905303)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of macropinocytosis (GO:1905302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion-dependent exocytosis (GO:0017158)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of macropinocytosis (GO:1905301)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-ion regulated exocytosis (GO:0017156)	43	0	.31	-	 < 0.01	1.00E00	1.00E00
endothelial to hematopoietic transition (GO:0098508)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5' dephosphorylation (GO:0098507)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
polynucleotide 3' dephosphorylation (GO:0098506)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein lipase activity (GO:0051006)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein lipase activity (GO:0051005)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein lipase activity (GO:0051004)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
DNA dephosphorylation (GO:0098502)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of nitric-oxide synthase activity (GO:0051001)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric-oxide synthase activity (GO:0051000)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
response to methotrexate (GO:0031427)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
stem cell division (GO:0017145)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
drug metabolic process (GO:0017144)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
insecticide metabolic process (GO:0017143)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to chromosome (GO:0070199)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
protein localization to chromosome, telomeric region (GO:0070198)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
meiotic attachment of telomere to nuclear envelope (GO:0070197)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex disassembly (GO:0070194)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex organization (GO:0070193)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	68	0	.50	-	 < 0.01	1.00E00	1.00E00
oxylipin biosynthetic process (GO:0031408)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
oxylipin metabolic process (GO:0031407)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
kynurenine metabolic process (GO:0070189)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleologenesis (GO:0017126)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial tyrosyl-tRNA aminoacylation (GO:0070184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial tryptophanyl-tRNA aminoacylation (GO:0070183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi to plasma membrane CFTR protein transport (GO:0042999)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of Golgi to plasma membrane protein transport (GO:0042998)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of Golgi to plasma membrane protein transport (GO:0042997)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi to plasma membrane protein transport (GO:0042996)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
cytoplasmic sequestering of transcription factor (GO:0042994)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of isotype switching to IgA isotypes (GO:0048298)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of isotype switching to IgA isotypes (GO:0048297)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching to IgA isotypes (GO:0048296)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of isotype switching to IgE isotypes (GO:0048295)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of isotype switching to IgE isotypes (GO:0048294)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of isotype switching to IgE isotypes (GO:0048293)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
isotype switching to IgG isotypes (GO:0048291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isotype switching to IgA isotypes (GO:0048290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-serine biosynthetic process (GO:0070179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-serine metabolic process (GO:0070178)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hepatic stellate cell proliferation (GO:1904899)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of enamel mineralization (GO:0070175)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hepatic stellate cell proliferation (GO:1904897)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of enamel mineralization (GO:0070173)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ESCRT complex assembly (GO:1904895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tooth mineralization (GO:0070172)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor signaling pathway via STAT (GO:1904893)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of tooth mineralization (GO:0070171)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tooth mineralization (GO:0070170)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of excitatory synapse assembly (GO:1904891)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sequestering of actin monomers (GO:0042989)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of amyloid precursor protein biosynthetic process (GO:0042986)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
amyloid precursor protein biosynthetic process (GO:0042983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle fusion with Golgi apparatus (GO:0048280)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of biomineral tissue development (GO:0070168)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of excitatory synapse assembly (GO:1904889)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
enamel mineralization (GO:0070166)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of adiponectin secretion (GO:0070165)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome assembly (GO:1904887)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of adiponectin secretion (GO:0070164)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex assembly (GO:1904885)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of adiponectin secretion (GO:0070163)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomerase catalytic core complex assembly (GO:1904884)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of telomerase catalytic core complex assembly (GO:1904882)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen sulfide (GO:1904881)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hydrogen sulfide (GO:1904880)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of Janus kinase activity (GO:0042976)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle docking (GO:0048278)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
mitochondrial threonyl-tRNA aminoacylation (GO:0070159)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial seryl-tRNA aminoacylation (GO:0070158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1904879)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1904878)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA ligase activity (GO:1904877)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA ligase activity (GO:1904876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA ligase activity (GO:1904875)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
